ID,Phase,Day,Task,Daily brief file,Phase overview file,Prompt for Codex,Status,Owner,Started (UTC),Completed (UTC),Evidence / PR link,Blockers / notes,Expected outcome
P03-D07,03,07,Brief PDF conversion workflows,deep-research-phase-plan/phase-03-content-differentiation/day-07.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-07.md` exactly as written. Your goal is: Brief PDF conversion workflows. Produce this outcome: Implementation-ready briefs for JPG to PDF and PDF to JPG. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,Implementation-ready briefs for JPG to PDF and PDF to JPG
P03-D08,03,08,Brief PDF trust-sensitive tools,deep-research-phase-plan/phase-03-content-differentiation/day-08.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-08.md` exactly as written. Your goal is: Brief PDF trust-sensitive tools. Produce this outcome: Implementation-ready briefs for OCR, Redact/Blackout, and PDF Security using Phase 01 safety evidence. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"Implementation-ready briefs for OCR, Redact/Blackout, and PDF Security using Phase 01 safety evidence"
P03-D09,03,09,Brief JSON and CSV tools,deep-research-phase-plan/phase-03-content-differentiation/day-09.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-09.md` exactly as written. Your goal is: Brief JSON and CSV tools. Produce this outcome: Implementation-ready briefs for JSON Formatter, CSV to SQL, and CSV Query. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"Implementation-ready briefs for JSON Formatter, CSV to SQL, and CSV Query"
P03-D10,03,10,Brief decoding and pattern tools,deep-research-phase-plan/phase-03-content-differentiation/day-10.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-10.md` exactly as written. Your goal is: Brief decoding and pattern tools. Produce this outcome: Implementation-ready briefs for JWT Decoder, Regex Tester, Base64 Encoder, and URL Encoder. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"Implementation-ready briefs for JWT Decoder, Regex Tester, Base64 Encoder, and URL Encoder"
P03-D11,03,11,Brief hash and cron tools,deep-research-phase-plan/phase-03-content-differentiation/day-11.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-11.md` exactly as written. Your goal is: Brief hash and cron tools. Produce this outcome: Implementation-ready briefs for Hash Generator and Cron Expression Parser. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,Implementation-ready briefs for Hash Generator and Cron Expression Parser
P03-D12,03,12,"Review privacy, safety, and language",deep-research-phase-plan/phase-03-content-differentiation/day-12.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-12.md` exactly as written. Your goal is: Review privacy, safety, and language. Produce this outcome: A review log resolving or blocking every factual and trust-sensitive claim. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A review log resolving or blocking every factual and trust-sensitive claim
P03-D13,03,13,Validate briefs against real UIs,deep-research-phase-plan/phase-03-content-differentiation/day-13.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-13.md` exactly as written. Your goal is: Validate briefs against real UIs. Produce this outcome: A selector-level compatibility report and sample desktop/mobile walkthrough. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A selector-level compatibility report and sample desktop/mobile walkthrough
P03-D14,03,14,Publish the Phase 03 handoff,deep-research-phase-plan/phase-03-content-differentiation/day-14.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-14.md` exactly as written. Your goal is: Publish the Phase 03 handoff. Produce this outcome: A prioritized, fact-checked rewrite packet with acceptance tests and unresolved facts. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A prioritized, fact-checked rewrite packet with acceptance tests and unresolved facts"
P04-D01,04,01,Define measurement protocol,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-01.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-01.md` exactly as written. Your goal is: Define measurement protocol. Produce this outcome: A repeatable lab/field measurement protocol with device, network, runs, URLs, and evidence rules. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A repeatable lab/field measurement protocol with device, network, runs, URLs, and evidence rules"
P04-D02,04,02,Capture repository-local performance baseline,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-02.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-02.md` exactly as written. Your goal is: Capture repository-local performance baseline. Produce this outcome: A local baseline for the seven priority URLs, clearly not represented as production field performance. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A local baseline for the seven priority URLs, clearly not represented as production field performance"
P04-D03,04,03,Capture production and field evidence,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-03.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-03.md` exactly as written. Your goal is: Capture production and field evidence. Produce this outcome: A production lab/field evidence log or a complete pending-access procedure. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A production lab/field evidence log or a complete pending-access procedure
P04-D04,04,04,Audit heavy-library loading,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-04.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-04.md` exactly as written. Your goal is: Audit heavy-library loading. Produce this outcome: A route-by-route matrix showing where PDF, OCR, image, and other heavy code loads. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A route-by-route matrix showing where PDF, OCR, image, and other heavy code loads"
P04-D05,04,05,Audit third-party requests,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-05.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-05.md` exactly as written. Your goal is: Audit third-party requests. Produce this outcome: A request inventory with purpose, initiator, data class, consent requirement, and owner. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A request inventory with purpose, initiator, data class, consent requirement, and owner"
P04-D06,04,06,Map privacy claims to behavior,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-06.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-06.md` exactly as written. Your goal is: Map privacy claims to behavior. Produce this outcome: A claim-to-evidence matrix and safer wording proposal for every network-capable priority tool. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A claim-to-evidence matrix and safer wording proposal for every network-capable priority tool
P04-D07,04,07,Specify lazy-loading and code-splitting work,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-07.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-07.md` exactly as written. Your goal is: Specify lazy-loading and code-splitting work. Produce this outcome: A route-specific implementation plan with expected measurement and rollback, not speculative savings. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A route-specific implementation plan with expected measurement and rollback, not speculative savings"
P04-D08,04,08,Define the SEO release gate,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-08.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-08.md` exactly as written. Your goal is: Define the SEO release gate. Produce this outcome: An automatable gate for build, status, robots, sitemap, canonical, noindex, hreflang, and links. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An automatable gate for build, status, robots, sitemap, canonical, noindex, hreflang, and links"
P04-D09,04,09,Define the product and browser gate,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-09.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-09.md` exactly as written. Your goal is: Define the product and browser gate. Produce this outcome: A repeatable smoke suite for core task success, console errors, mobile layout, and accessibility basics. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A repeatable smoke suite for core task success, console errors, mobile layout, and accessibility basics"
P04-D10,04,10,Define privacy-safe analytics,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-10.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-10.md` exactly as written. Your goal is: Define privacy-safe analytics. Produce this outcome: An event/data dictionary for the nine approved events and four approved properties. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,An event/data dictionary for the nine approved events and four approved properties
P04-D11,04,11,Set budgets and decision thresholds,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-11.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-11.md` exactly as written. Your goal is: Set budgets and decision thresholds. Produce this outcome: A signed-off budget table and regression policy tied to measurement uncertainty. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A signed-off budget table and regression policy tied to measurement uncertainty
P04-D12,04,12,Write release and rollback runbook,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-12.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-12.md` exactly as written. Your goal is: Write release and rollback runbook. Produce this outcome: A timed daytime-release checklist with owner, observation window, and rollback triggers. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A timed daytime-release checklist with owner, observation window, and rollback triggers"
P04-D13,04,13,Dry-run the gates without roadmap changes,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-13.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-13.md` exactly as written. Your goal is: Dry-run the gates without roadmap changes. Produce this outcome: A dry-run report proving the checks execute and distinguishing existing failures from gate defects. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A dry-run report proving the checks execute and distinguishing existing failures from gate defects
P04-D14,04,14,Publish the Phase 04 handoff,deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-14.md,deep-research-phase-plan/phase-04-performance-privacy-release-gates.md,"Execute `deep-research-phase-plan/phase-04-performance-privacy-release-gates/day-14.md` exactly as written. Your goal is: Publish the Phase 04 handoff. Produce this outcome: A versioned release-gate packet and unresolved production/console dependencies for Phase 05. Read `deep-research-phase-plan/phase-04-performance-privacy-release-gates.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A versioned release-gate packet and unresolved production/console dependencies for Phase 05
P05-D01,05,01,Inventory localized URLs,deep-research-phase-plan/phase-05-international-seo/day-01.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-01.md` exactly as written. Your goal is: Inventory localized URLs. Produce this outcome: A locale/path/content inventory beginning with Spanish and separating existing pages from planned pilots. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A locale/path/content inventory beginning with Spanish and separating existing pages from planned pilots
P05-D02,05,02,Measure English-Spanish parity,deep-research-phase-plan/phase-05-international-seo/day-02.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-02.md` exactly as written. Your goal is: Measure English-Spanish parity. Produce this outcome: A page-and-feature parity matrix with justified gaps, not a demand claim. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A page-and-feature parity matrix with justified gaps, not a demand claim"
P05-D03,05,03,Audit Spanish canonical signals,deep-research-phase-plan/phase-05-international-seo/day-03.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-03.md` exactly as written. Your goal is: Audit Spanish canonical signals. Produce this outcome: A URL-level canonical/noindex/status report for every current Spanish page. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A URL-level canonical/noindex/status report for every current Spanish page
P05-D04,05,04,Audit hreflang clusters,deep-research-phase-plan/phase-05-international-seo/day-04.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-04.md` exactly as written. Your goal is: Audit hreflang clusters. Produce this outcome: A reciprocal, self-reference, code, x-default, status, and canonical validation report. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A reciprocal, self-reference, code, x-default, status, and canonical validation report"
P05-D05,05,05,Audit Spanish content quality,deep-research-phase-plan/phase-05-international-seo/day-05.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-05.md` exactly as written. Your goal is: Audit Spanish content quality. Produce this outcome: A native-review queue covering UI, headings, examples, anchors, and tool-specific body copy. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A native-review queue covering UI, headings, examples, anchors, and tool-specific body copy"
P05-D06,05,06,Research Spanish search intent,deep-research-phase-plan/phase-05-international-seo/day-06.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-06.md` exactly as written. Your goal is: Research Spanish search intent. Produce this outcome: A sourced query-language decision log or an explicit no-access/pending record. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A sourced query-language decision log or an explicit no-access/pending record
P05-D07,05,07,Specify Spanish remediation,deep-research-phase-plan/phase-05-international-seo/day-07.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-07.md` exactly as written. Your goal is: Specify Spanish remediation. Produce this outcome: An ordered repository change plan for canonical, hreflang, translation, examples, and links. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An ordered repository change plan for canonical, hreflang, translation, examples, and links"
P05-D08,05,08,Define German and French pilot gates,deep-research-phase-plan/phase-05-international-seo/day-08.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-08.md` exactly as written. Your goal is: Define German and French pilot gates. Produce this outcome: A go/hold rubric and candidate list capped at 10–15 tools per language. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A go/hold rubric and candidate list capped at 10–15 tools per language
P05-D09,05,09,Define Portuguese pilot gates,deep-research-phase-plan/phase-05-international-seo/day-09.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-09.md` exactly as written. Your goal is: Define Portuguese pilot gates. Produce this outcome: A Brazil-aware go/hold rubric and candidate list capped at 10–15 tools. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A Brazil-aware go/hold rubric and candidate list capped at 10–15 tools
P05-D10,05,10,Assess Arabic RTL readiness,deep-research-phase-plan/phase-05-international-seo/day-10.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-10.md` exactly as written. Your goal is: Assess Arabic RTL readiness. Produce this outcome: A component-level RTL test report and launch blocking list; no claim of translation quality without native review. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A component-level RTL test report and launch blocking list; no claim of translation quality without native review
P05-D11,05,11,Assess Urdu demand and RTL readiness,deep-research-phase-plan/phase-05-international-seo/day-11.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-11.md` exactly as written. Your goal is: Assess Urdu demand and RTL readiness. Produce this outcome: A separate Urdu go/hold decision that does not inherit Arabic or Hindi assumptions. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A separate Urdu go/hold decision that does not inherit Arabic or Hindi assumptions
P05-D12,05,12,Design locale release gates,deep-research-phase-plan/phase-05-international-seo/day-12.md,deep-research-phase-plan/phase-05-international-seo.md,"Execute `deep-research-phase-plan/phase-05-international-seo/day-12.md` exactly as written. Your goal is: Design locale release gates. Produce this outcome: A locale-specific extension to Phase 04 covering lang/dir, canonical, hreflang, parity, and native review. Read `deep-research-phase-plan/phase-05-international-seo.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A locale-specific extension to Phase 04 covering lang/dir, canonical, hreflang, parity, and native review"
